siteid,sitename,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit,note
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,氨氮,NH3_N,0.01,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,總有機碳,TOC,0.98,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,化學需氧量,COD,<4.0,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,溶氧(電極法),DO,7.2,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,懸浮固體,SS,7.1,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,氣溫,TMP,22.3,℃,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,採樣深度,SampleDepth,5.8,m,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,導電度,EC,244,μmho/cm25℃,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,濁度,TB,3.8,NTU,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,酸鹼值,pH,8.13," ",
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,透明度,SD,-,m,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,水溫,WT,24.8,℃,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,卡爾森指數,CTSI,-,,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",表水,0.5,葉綠素a,Chl_a,3.6,μg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",表水,0.5,總磷,TP,0.04,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",表水,0.5,正磷酸鹽,PO4,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",表水,0.5,溶氧飽和度,DOS,89.2,%,
